2026-06-28 17:08:21,807 | INFO     | httpx:_send_single_request:1740 | HTTP Request: GET https://image.pollinations.ai/prompt/Simple%20illustration%20of%20A%20futuristic%20animation%20of%20AI%20tools%20appears%20on%20screen%2C%20clean%20digital%20art%20style?width=1024&height=1024 "HTTP/1.1 200 OK"
2026-06-28 17:08:21,809 | DEBUG    | httpcore.http11:atrace:87 | receive_response_body.started request=<Request [b'GET']>
2026-06-28 17:08:21,886 | DEBUG    | httpcore.http11:atrace:87 | receive_response_body.complete
2026-06-28 17:08:21,887 | DEBUG    | httpcore.http11:atrace:87 | response_closed.started
2026-06-28 17:08:21,889 | DEBUG    | httpcore.http11:atrace:87 | response_closed.complete
2026-06-28 17:08:21,901 | INFO     | autovideofactory.services.pipeline:_download_asset:267 | Downloaded asset: output\assets\scene_1.jpg (79837 bytes)
2026-06-28 17:08:21,903 | DEBUG    | httpcore.connection:atrace:87 | close.started
2026-06-28 17:08:21,905 | DEBUG    | httpcore.connection:atrace:87 | close.complete
2026-06-28 17:08:27,231 | DEBUG    | httpcore.connection:atrace:87 | connect_tcp.started host='image.pollinations.ai' port=443 local_address=None timeout=120.0 socket_options=None
2026-06-28 17:08:27,319 | DEBUG    | httpcore.connection:atrace:87 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000017C05E219D0>
2026-06-28 17:08:27,332 | DEBUG    | httpcore.connection:atrace:87 | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000017C05E0C050> server_hostname='image.pollinations.ai' timeout=120.0
2026-06-28 17:08:27,360 | DEBUG    | httpcore.connection:atrace:87 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000017C05E21BF0>
2026-06-28 17:08:27,362 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.started request=<Request [b'GET']>
2026-06-28 17:08:27,364 | DEBUG    | httpcore.http11:atrace:87 | send_request_headers.complete
2026-06-28 17:08:27,366 | DEBUG    | httpcore.http11:atrace:87 | send_request_body.started request=<Request [b'GET']>
